Job,Job Hash,Organization,Total,New Candidates,CV sent out,1st Stage,2nd Stage,3rd Stage,4th Stage,Final Stage,Offered,Offer Accepted,Hired
VIP KAM Peru,L6YX36YR,Betsson Group,38,18,9,9,0,2,0,0,0,0,0
Country Manager Chile - W2,L7343V83,Betsson Group,6,4,2,0,0,0,0,0,0,0,0
Lead C# . Net Developer,L73469R5,Lab49,21,9,6,6,0,0,0,0,0,0,0
DevOps Engineer,L734WY75,Republic Financial Holdings,15,4,11,0,0,0,0,0,0,0,0
Solutions Engineer,L7385343,Sezzle,4,2,2,0,0,0,0,0,0,0,0
Senior Software Engineer - Colombia (Remote),L7388XXX,Bilt Rewards,12,3,5,4,0,0,0,0,0,0,0
Product Manager (Payments),L73XVRWX,Republic Financial Holdings,24,11,10,1,2,0,0,0,0,0,0
Sr Tech Support Engineer Payroll,L74VR433,"YellowPepper, A Visa Solution",97,64,24,5,3,0,0,1,0,0,0
Technical Program Manager,L758YRYX,Encontrack SA de CV,12,6,3,2,1,0,0,0,0,0,0
Senior DevOps Engineer,L764W785,Horizen Labs,3,2,1,0,0,0,0,0,0,0,0
Senior Software Engineer,L764XW55,iPiD,1,1,0,0,0,0,0,0,0,0,0
Jr Devops,L76RW885,Meru,6,2,0,0,3,0,0,0,0,0,1
QA Engineer,L76Y7R33,Betsson - Malta Project,9,8,1,0,0,0,0,0,0,0,0
Senior Mobile Engineer,L7748W5X,Sezzle,17,9,3,2,1,2,0,0,0,0,0
Senior Cryptographic Engineer,L7776V75,Horizen Labs,11,6,4,0,0,0,0,0,0,0,1
Real Time Analyst,L784Y775,Sezzle - Customer Service,9,0,0,0,3,0,0,5,0,0,1
Senior Software Engineer (KL),L7854343,iPiD,24,15,5,3,1,0,0,0,0,0,0
Sponsorship Executive (Medellín),L78543X3,Betsson Group,14,5,9,0,0,0,0,0,0,0,0
Senior Frontend Argentina (W2),L78RY5VX,Betsson Group,20,15,5,0,0,0,0,0,0,0,0
uxIui,L78Y9Y3X,"Tu clase, tu país",15,7,1,3,2,0,0,1,0,1,0
.NET Developer,L8437YRR,Republic Financial Holdings,33,14,15,4,0,0,0,0,0,0,0
Production Support - Data Engineer,L84RVV63,UST España & Latam,2,1,1,0,0,0,0,0,0,0,0
Sr ML Specialist / AI Team Lead,L84XRY3R,Tenant Evaluation,9,4,2,3,0,0,0,0,0,0,0
Junior Site Reliability Engineer,L883579V,Sezzle,10,3,1,1,3,2,0,0,0,0,0
Referrals - Altimetrik Change,L888789R,Zip Co,4,4,0,0,0,0,0,0,0,0,0
Junior Sales Development Representative,L888RW63,Sezzle,20,8,2,3,5,1,0,1,0,0,0
Investor Intake Support,L88VV47R,EB5AN,13,8,4,0,0,0,1,0,0,0,0
Director of Business Development,L8R4Y683,Symbolic Capital,4,3,1,0,0,0,0,0,0,0,0
Country Manager,L95V9754,eXalt Colombia,3,2,1,0,0,0,0,0,0,0,0
Founding Engineer,L95V9V94,Quantlink,9,3,3,2,0,0,0,0,0,0,1
Head of Marketing,L965X8RY,Cloud9,3,1,0,1,1,0,0,0,0,0,0
Director of Finance,L96RR484,Symbolic Capital,3,2,1,0,0,0,0,0,0,0,0
Recruitment Partner - Peru,L96RY95Y,Betsson Group,27,16,10,0,0,0,0,0,0,1,0
Product Manager,L96X87VY,Flywheel Dynamix,1,1,0,0,0,0,0,0,0,0,0
Product Data Analyst,L975X4WY,Sezzle,23,15,1,1,2,2,0,0,0,0,2
Analista QA,L978XRY4,Davinci Technologies LATAM,2,1,0,0,0,0,0,0,0,0,1
Java WebFlux,L987R6RY,ITGlobers,12,4,6,0,0,0,0,0,0,0,2
Chargeback Operations Team Lead,L98RR954,Sezzle,4,2,0,0,0,0,0,0,0,0,2
Fund Accountant,L98WW5R6,EB5AN,24,18,2,2,1,0,0,0,0,1,0
Intern,L98X56W4,Remoti,157,153,0,0,0,0,0,1,3,0,0
Sr Java 2024,L9V74V34,"YellowPepper, A Visa Solution",50,18,25,6,0,0,1,0,0,0,0
Senior Dispute Support,L9V96VR6,Visa,24,10,7,2,0,0,1,1,0,3,0
BDR Sr - Colombia,LR34VW66,ITGlobers,18,7,9,2,0,0,0,0,0,0,0
BDR Jr - Colombia,LR34VWY6,ITGlobers,11,5,4,2,0,0,0,0,0,0,0
Director of Community,LR3V9Y8X,Sentient,5,2,2,1,0,0,0,0,0,0,0
UX/UI Designer,LR3VYYVR,Republic Financial Holdings,27,10,12,2,3,0,0,0,0,0,0
Senior Software Engineer - Replacement Merchants,LR3X776R,Zip Co,7,5,2,0,0,0,0,0,0,0,0
Graphic Designer,LR43R576,Novibet,2,1,1,0,0,0,0,0,0,0,0
.NET Argentina,LR49R7R6,Betsson Group,37,22,7,2,2,0,1,1,1,0,1
