Numero de Paginas,Densidad Informacion (%),Fechas Detectadas (Count),Tamaño cuerpo probable,Variedad de fuentes,Variedad de tamaños,Uso de negritas (estimado %),Uso de cursivas (estimado %),Porcentaje Lenguaje Técnico,LinkedIn,GitHub,Website/Otro,Cantidad de imágenes,Tiene Elementos Graficos,Lineas_education,Lineas_work_experience,Lineas_skills,Lineas_certifications,Lineas_achievements,Lineas_professional_profile,Lineas_languages,Lineas_projects,Lineas_publications,Lineas_training_courses,Lineas_volunteer_work,Seccion_languages,Seccion_publications,Seccion_training_courses,texto_extraido_len,Promedio tamaño fuente,Formato Texto (Lineas)_Párrafos,Formato Texto (Lineas)_Viñetas,Orden Temporal_Orden Temporal Detectado,Formato Fecha Más Común_MM-YYYY,Formato Fecha Más Común_MM/YYYY,Formato Fecha Más Común_Mon YYYY (EN),Formato Fecha Más Común_YYYY,Fuente principal_ArialMT,Fuente principal_Calibri,Fuente principal_Otra,Fuente principal_Tahoma,Legibilidad general_Buena,Consistencia tamaños fuente_Consistente,Consistencia márgenes (aprox)_Consistente,Uso de colores (texto)_Sí,Uso de colores (dibujos)_Sí,Deteccion Foto Perfil_Posible Foto Detectada,secciones_completas,Ratio_Lineas_Experiencia_len,Passed
3,4.67,0,10,3,6,15.0,100.0,8.81,0,0,0,0,1,3,1,6,0,0,1,6,5,4,0,11,1,1,1,4683,21.5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,10,0.00021353833013025838,1
2,5.19,0,8,5,6,15.7,100.0,3.17,1,0,1,0,1,2,2,12,0,0,2,1,2,2,21,6,1,1,1,3474,11.833333333333334,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,9,0.0005757052389176742,1
6,3.72,1,12,4,7,24.5,100.0,6.66,0,0,1,9,1,42,1,0,0,0,25,0,3,28,0,0,1,1,1,7461,14.857142857142858,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,9,0.00013403029084573114,1
3,6.7,2,11,3,5,42.7,87.8,17.89,1,1,1,1,1,1,4,0,0,0,4,0,2,5,4,0,1,1,1,6727,12.8,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,7,0.0005946187007581388,1
1,10.54,0,8,4,7,32.8,100.0,15.2,1,0,0,0,1,41,6,5,0,0,0,0,0,9,0,0,1,1,0,3525,16.714285714285715,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,7,0.001702127659574468,1
3,5.35,1,10,5,4,7.2,0.0,14.91,0,0,0,0,0,1,84,1,3,0,6,15,0,0,1,0,1,1,1,5184,11.25,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,8,0.016203703703703703,1
3,5.02,0,10,2,4,29.6,0.0,6.31,1,1,0,0,1,1,2,11,0,9,0,11,11,6,0,0,1,1,1,5041,12.5,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,9,0.00039674667724657806,1
2,8.69,1,10,11,6,0.0,81.2,5.29,0,0,0,0,1,9,35,2,0,0,0,0,0,21,0,11,0,1,1,5615,9.666666666666666,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,8,0.006233303650934996,1
1,8.7,5,10,3,7,0.0,100.0,9.24,0,0,0,0,0,0,2,1,0,0,4,4,0,0,0,5,1,1,0,2810,13.857142857142858,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,0.0007117437722419929,1
2,5.92,0,9,1,6,0.0,100.0,4.57,1,1,1,6,0,1,3,0,0,0,1,2,1,2,3,0,1,1,1,3957,10.166666666666666,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,9,0.000758150113722517,1
2,4.91,0,9,6,4,12.4,80.3,7.03,0,0,0,0,0,3,17,15,6,6,7,0,2,3,1,0,1,1,1,3173,12.0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,9,0.005357705641348881,1
4,5.48,0,11,4,4,25.6,0.0,9.72,0,0,0,0,1,3,2,4,0,0,1,13,4,18,0,5,1,1,1,7086,14.75,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,9,0.0002822466836014677,1
5,3.66,0,12,4,5,6.4,100.0,9.38,0,0,0,0,1,6,27,31,0,0,3,0,0,1,3,14,1,1,1,6104,14.8,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,9,0.004423328964613368,1
1,3.45,1,10,8,8,66.0,86.8,5.33,0,0,0,0,1,9,2,0,0,0,0,0,0,4,0,4,1,1,1,1154,12.25,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,8,0.0017331022530329288,1
3,6.05,0,11,2,3,27.4,0.0,6.67,0,0,0,0,1,2,45,2,0,2,0,0,0,0,5,0,1,1,1,5862,11.333333333333334,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,10,0.007676560900716479,1
6,3.73,1,11,3,11,27.7,1.9,4.01,0,0,0,1,0,2,77,0,2,0,0,0,40,0,0,0,0,1,0,7487,8.636363636363637,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0.010284493121410445,1
2,6.25,3,10,6,4,21.4,95.2,8.39,0,0,0,0,0,0,2,0,0,0,1,2,0,2,0,0,1,1,1,4183,13.25,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,6,0.0004781257470714798,1
3,4.42,5,8,3,9,0.0,100.0,7.73,0,0,0,9,1,19,0,1,13,0,0,1,1,1,0,0,1,1,1,4435,19.666666666666668,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10,0.0,1
6,4.19,8,10,3,8,27.1,3.6,5.12,0,0,0,0,1,0,3,3,8,0,0,0,9,12,4,0,1,1,1,7644,12.25,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,9,0.0003924646781789639,1
3,5.33,0,9,5,4,11.1,100.0,8.42,1,1,0,0,1,5,2,0,7,0,1,2,8,1,0,5,1,1,1,5167,16.5,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,10,0.0003870718018192375,1
2,8.87,2,10,3,6,2.0,0.0,9.27,1,0,1,0,1,0,2,6,0,1,0,4,0,1,2,0,1,1,1,5936,15.666666666666666,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,9,0.00033692722371967657,1
