,Passed,Numero de Paginas,Cantidad de Palabras,Densidad Informacion (%),Fechas Detectadas (Count),Tamaño cuerpo probable,Variedad de fuentes,Variedad de tamaños,Uso de negritas (estimado %),Uso de cursivas (estimado %),Porcentaje Lenguaje Técnico,Porcentaje Lenguaje Genérico,LinkedIn,GitHub,Website/Otro,Cantidad de imágenes,Tiene Elementos Graficos,Lineas_education,Lineas_work_experience,Lineas_skills,Lineas_certifications,Lineas_achievements,Lineas_professional_profile,Lineas_languages,Lineas_projects,Lineas_publications,Lineas_training_courses,Lineas_volunteer_work,Seccion_education,Seccion_work_experience,Seccion_skills,Seccion_certifications,Seccion_achievements,Seccion_professional_profile,Seccion_languages,Seccion_projects,Seccion_publications,Seccion_training_courses,Seccion_volunteer_work,texto_extraido_len,Tamaño de fuente más usado,Promedio tamaño fuente,Formato Texto (Lineas)_Mixto,Formato Texto (Lineas)_Párrafos,Formato Texto (Lineas)_Viñetas,Orden Temporal_Orden Temporal Detectado,Orden Temporal_Pocas Fechas,Formato Fecha Más Común_DD/MM/YYYY,Formato Fecha Más Común_MM-YYYY,Formato Fecha Más Común_MM/YYYY,Formato Fecha Más Común_Mes YYYY (ES Comp),Formato Fecha Más Común_Mon YYYY (EN),Formato Fecha Más Común_Month YYYY (EN),Formato Fecha Más Común_Rango YYYY-YYYY,Formato Fecha Más Común_SpaCy DATE (Sin clasificar),Formato Fecha Más Común_YYYY,Formato Fecha Más Común_YYYY (SpaCy),Fuente principal_ArialMT,Fuente principal_Calibri,Fuente principal_Lato-Regular,Fuente principal_OpenSans-Regular,Fuente principal_Otra,Fuente principal_Roboto-Regular,Fuente principal_Tahoma,Legibilidad general_Buena,Legibilidad general_Potencialmente Deficiente,Consistencia tamaños fuente_Consistente,Consistencia tamaños fuente_Inconsistente,Consistencia márgenes (aprox)_Consistente,Consistencia márgenes (aprox)_Inconsistente,Uso de colores (texto)_No,Uso de colores (texto)_Sí,Uso de colores (dibujos)_No,Uso de colores (dibujos)_Sí,Deteccion Foto Perfil_No se detectaron imágenes candidatas,Deteccion Foto Perfil_Posible Foto Detectada,secciones_completas
246,1,2,84,6.79,0,10,4,4,27.1,100.0,17.25,82.75,1,0,1,0,0,5,6,3,2,0,0,1,0,2,1,0,1,1,1,1,0,1,1,1,1,1,0,4386,10,12.75,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,8
247,1,1,328,6.39,4,10,5,7,7.7,77.7,2.56,97.44,0,0,0,1,0,7,3,2,0,0,0,16,0,2,1,0,1,1,1,0,0,1,1,1,1,1,1,2342,10,13.857142857142858,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,8
248,1,2,924,9.58,1,9,4,4,3.2,100.0,7.53,92.47,0,0,1,0,1,0,46,23,0,0,12,3,0,3,0,0,1,1,1,1,0,1,1,1,1,1,1,6400,9,13.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,9
249,1,2,420,4.42,4,11,4,3,13.8,100.0,8.79,91.21,1,0,0,0,0,11,0,6,0,0,22,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,2955,11,16.666666666666668,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,9
250,1,3,803,6.59,2,10,8,8,20.6,25.0,7.55,92.45,1,1,0,4,1,5,2,0,0,0,1,1,6,0,0,0,1,1,1,1,0,1,1,1,1,0,0,6389,10,11.375,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,7
251,1,2,651,7.31,0,8,4,6,0.0,100.0,5.05,94.95,1,0,1,1,1,19,10,20,0,0,0,10,0,0,0,3,1,1,1,1,0,1,1,1,1,1,1,4895,8,19.166666666666668,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,9
252,1,2,254,3.1,7,10,5,5,37.5,100.0,10.76,89.24,0,0,0,0,1,5,3,0,0,0,4,0,2,2,10,0,1,1,1,1,0,1,1,1,1,1,0,2001,10,12.2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,8
253,1,3,545,4.63,0,12,5,3,26.2,76.5,5.57,94.43,1,0,0,1,0,14,15,9,0,3,4,0,3,16,0,0,1,1,1,0,1,1,1,1,1,1,1,4490,12,12.333333333333334,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,9
254,1,10,1107,2.82,0,12,8,7,8.8,2.5,7.71,92.29,0,0,0,2,0,28,11,0,0,0,0,0,2,7,1,7,1,1,1,1,1,1,1,1,1,1,1,9125,12,10.285714285714286,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,10
255,1,6,1313,4.77,1,12,8,2,12.0,4.1,8.0,92.0,1,1,1,0,0,3,6,16,8,0,5,13,18,0,0,0,1,1,1,1,0,1,1,1,1,0,0,9553,12,11.5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,7
256,1,1,248,5.22,1,11,5,7,0.0,100.0,8.57,91.43,0,0,0,1,1,4,6,2,3,0,0,15,2,2,2,0,1,1,1,1,0,0,1,1,1,1,0,1747,11,18.285714285714285,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,7
257,1,3,942,7.78,5,10,8,7,31.2,0.0,5.37,94.63,0,0,0,5,0,5,82,0,2,0,0,4,0,0,6,0,1,1,1,1,0,1,1,1,1,1,0,7795,10,11.285714285714286,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,8
